muscle,zero_command_baseline,original_model_activation,target_activation,target_minus_original
lf_coxa_yaw_positive,0,1.0259476090490647e-05,0.28662922978401184,0.28661897030792133
lf_coxa_yaw_negative,0,0.0,0.10000000149011612,0.10000000149011612
lf_coxa_pitch_positive,0,0.002105152901775513,0.10234685242176056,0.10024169951998504
lf_coxa_pitch_negative,0,0.0034363755689051246,0.10409609228372574,0.10065971671482062
lf_coxa_roll_positive,0,0.0,0.0,0.0
lf_coxa_roll_negative,0,0.0,0.0,0.0
lf_trochanterfemur_pitch_positive,0,0.008143792054055462,0.10000000149011612,0.09185620943606065
lf_trochanterfemur_pitch_negative,0,0.0005995713381422799,0.21597382426261902,0.21537425292447673
lf_trochanterfemur_roll_positive,0,0.0,0.0,0.0
lf_trochanterfemur_roll_negative,0,0.0,0.0,0.0
lf_tibia_pitch_positive,0,0.0,0.1528054028749466,0.1528054028749466
lf_tibia_pitch_negative,0,0.004674640369897403,0.10000000149011612,0.09532536112021872
lf_tarsus1_pitch_positive,0,0.0,0.10000000149011612,0.10000000149011612
lf_tarsus1_pitch_negative,0,0.0,0.25395578145980835,0.25395578145980835
lm_coxa_yaw_positive,0,0.002153932825164709,0.10000000149011612,0.09784606866495141
lm_coxa_yaw_negative,0,0.0,0.23392575979232788,0.23392575979232788
lm_coxa_pitch_positive,0,0.0055228165700922606,0.10000000149011612,0.09447718492002385
lm_coxa_pitch_negative,0,3.362888771285166e-06,0.14092008769512177,0.14091672480635048
lm_coxa_roll_positive,0,0.0,0.0,0.0
lm_coxa_roll_negative,0,0.0,0.0,0.0
lm_trochanterfemur_pitch_positive,0,1.363130230706761e-06,0.23512424528598785,0.23512288215575713
lm_trochanterfemur_pitch_negative,0,0.004026357103389667,0.10000000149011612,0.09597364438672645
lm_trochanterfemur_roll_positive,0,0.0,0.0,0.0
lm_trochanterfemur_roll_negative,0,0.0,0.0,0.0
lm_tibia_pitch_positive,0,0.0,0.13721728324890137,0.13721728324890137
lm_tibia_pitch_negative,0,0.08967232984176997,0.10325564444065094,0.013583314598880972
lm_tarsus1_pitch_positive,0,0.0,0.0,0.0
lm_tarsus1_pitch_negative,0,0.0,0.0,0.0
lh_coxa_yaw_positive,0,0.0004009242514904394,0.4298741817474365,0.42947325749594606
lh_coxa_yaw_negative,0,0.0,0.10000000149011612,0.10000000149011612
lh_coxa_pitch_positive,0,0.006906802763635299,0.10000000149011612,0.09309319872648082
lh_coxa_pitch_negative,0,0.00673009514140282,0.30000895261764526,0.29327885747624244
lh_coxa_roll_positive,0,0.0,0.0,0.0
lh_coxa_roll_negative,0,0.0,0.0,0.0
lh_trochanterfemur_pitch_positive,0,0.03011375885281656,0.10000000149011612,0.06988624263729956
lh_trochanterfemur_pitch_negative,0,0.0,0.4526309370994568,0.4526309370994568
lh_trochanterfemur_roll_positive,0,0.0,0.0,0.0
lh_trochanterfemur_roll_negative,0,0.0,0.0,0.0
lh_tibia_pitch_positive,0,0.0,0.10000000149011612,0.10000000149011612
lh_tibia_pitch_negative,0,0.007151996252649059,0.158664733171463,0.15151273691881395
lh_tarsus1_pitch_positive,0,0.0,0.0,0.0
lh_tarsus1_pitch_negative,0,0.0,0.0,0.0
rf_coxa_yaw_positive,0,0.0,0.28668320178985596,0.28668320178985596
rf_coxa_yaw_negative,0,0.0,0.10000000149011612,0.10000000149011612
rf_coxa_pitch_positive,0,0.0,0.10182511061429977,0.10182511061429977
